Ty Cobb
Walter Johnson
Christy Mathewson
Babe Ruth
Honus Wagner
Morgan Bulkeley
Byron Johnson
Nap Lajoie
Connie Mack
John McGraw
Tris Speaker
George Wright
Cy Young
Grover Alexander
Alexander Cartwright
Henry Chadwick
Cap Anson
Eddie Collins
Charles Comiskey
Candy Cummings
Buck Ewing
Lou Gehrig
Willie Keeler
Charles Radbourn
George Sisler
Al Spalding
Rogers Hornsby
Kenesaw Landis
Roger Bresnahan
Dan Brouthers
Fred Clarke
Jimmy Collins
Ed Delahanty
Hugh Duffy
Hugh Jennings
King Kelly
Jim O'Rourke
Wilbert Robinson
Jesse Burkett
Frank Chance
Jack Chesbro
Johnny Evers
Clark Griffith
Tommy McCarthy
Joe McGinnity
Eddie Plank
Joe Tinker
Rube Waddell
Ed Walsh
Mickey Cochrane
Frankie Frisch
Lefty Grove
Carl Hubbell
Herb Pennock
Pie Traynor
Mordecai Brown
Charlie Gehringer
Kid Nichols
Jimmie Foxx
Mel Ott
Harry Heilmann
Paul Waner
Ed Barrow
Chief Bender
Tom Connolly
Dizzy Dean
Bill Klem
Al Simmons
Bobby Wallace
Harry Wright
Bill Dickey
Rabbit Maranville
Bill Terry
Frank Baker
Joe DiMaggio
Gabby Hartnett
Ted Lyons
Ray Schalk
Dazzy Vance
Joe Cronin
Hank Greenberg
Sam Crawford
Joe McCarthy
Zack Wheat
Max Carey
Billy Hamilton
Bob Feller
Bill McKechnie
Jackie Robinson
Edd Roush
John Clarkson
Elmer Flick
Eppa Rixey
Luke Appling
Red Faber
Burleigh Grimes
Miller Huggins
Tim Keefe
Heinie Manush
Pud Galvin
Casey Stengel
Ted Williams
Branch Rickey
Red Ruffing
Lloyd Waner
Kiki Cuyler
Goose Goslin
Joe Medwick
Roy Campanella
Stan Coveleski
Stan Musial
Lou Boudreau
Earle Combs
Ford Frick
Jesse Haines
Dave Bancroft
Jake Beckley
Chick Hafey
Harry Hooper
Joe Kelley
Rube Marquard
Satchel Paige
George Weiss
Yogi Berra
Josh Gibson
Lefty Gomez
Will Harridge
Sandy Koufax
Buck Leonard
Ross Youngs
Roberto Clemente
Billy Evans
Monte Irvin
George Kelly
Warren Spahn
Mickey Welch
Cool Papa
Jim Bottomley
Jocko Conlan
Mickey Mantle
Sam Thompson
Earl Averill
Bucky Harris
Billy Herman
Judy Johnson
Ralph Kiner
Oscar Charleston
Roger Connor
Cal Hubbard
Bob Lemon
Freddie Lindstrom
Robin Roberts
Ernie Banks
Martín Dihigo
Pop Lloyd
Al Lopez
Amos Rusie
Joe Sewell
Larry MacPhail
Eddie Mathews
Warren Giles
Willie Mays
Hack Wilson
Al Kaline
Chuck Klein
Duke Snider
Tom Yawkey
Rube Foster
Bob Gibson
Hank Aaron
Happy Chandler
Travis Jackson
Frank Robinson
Walter Alston
Juan Marichal
Brooks Robinson
Luis Aparicio
Don Drysdale
Rick Ferrell
Harmon Killebrew
Wee Reese
Lou Brock
Enos Slaughter
Arky Vaughan
Hoyt Wilhelm
Bobby Doerr
Ernie Lombardi
Willie McCovey
Ray Dandridge
Catfish Hunter
Billy Williams
Willie Stargell
Al Barlick
Johnny Bench
Red Schoendienst
Carl Yastrzemski
Joe Morgan
Jim Palmer
Rod Carew
Ferguson Jenkins
Tony Lazzeri
Gaylord Perry
Bill Veeck
Rollie Fingers
Bill McGowan
Hal Newhouser
Tom Seaver
Reggie Jackson
Steve Carlton
Leo Durocher
Phil Rizzuto
Richie Ashburn
William Hulbert
Mike Schmidt
Vic Willis
Jim Bunning
Bill Foster
Ned Hanlon
Earl Weaver
Tommy Lasorda
Phil Niekro
Willie Wells
George Davis
Lee MacPhail
Bullet Rogan
Don Sutton
George Brett
Orlando Cepeda
Nestor Chylak
Nolan Ryan
Frank Selee
Joe Williams
Robin Yount
Sparky Anderson
Bid McPhee
Tony Pérez
Turkey Stearnes
Bill Mazeroski
Kirby Puckett
Dave Winfield
Hilton Smith
Ozzie Smith
Gary Carter
Eddie Murray
Dennis Eckersley
Paul Molitor
Wade Boggs
Ryne Sandberg
Ray Brown
Willard Brown
Andy Cooper
Frank Grant
Biz Mackey
Effa Manley
José Méndez
Alex Pompez
Cum Posey
Louis Santop
Bruce Sutter
Mule Suttles
Ben Taylor
Cristóbal Torriente
Sol White
Jud Wilson
Tony Gwynn
Barney Dreyfuss
Rich Gossage
Billy Southworth
Dick Williams
Joe Gordon
Rickey Henderson
Doug Harvey
Whitey Herzog
Andre Dawson
Roberto Alomar
Bert Blyleven
Pat Gillick
Barry Larkin
Ron Santo
Hank O
Jacob Ruppert
Deacon White
Tom Glavine
La Russa
Greg Maddux
Frank Thomas
Joe Torre
Craig Biggio
Randy Johnson
Pedro Martinez
John Smoltz
